road_condition,contract_area_m2,contract_period,building_age,contract_year,contract_month,갈현동,고등동,금광동,금토동,단대동,도촌동,복정동,사송동,산성동,상대원동,상적동,성남동,수진동,시흥동,신촌동,신흥동,심곡동,양지동,여수동,오야동,은행동,중앙동,창곡동,태평동,하대원동,deposit
0.0,-1.6261390385425194,2,1.1325181584691553,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.193558474515761
0.0,-0.7487003441800915,2,0.7697675581169028,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.5872324194926422
0.0,-0.8609308748543556,2,-0.7719224933801698,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.7604684352135332
0.0,0.7026444729484589,2,1.85801935917366,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4305291728675932
0.0,1.3551119671865666,2,-0.13710894276372812,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0025608664346346084
0.0,-0.5288305318136927,2,1.0418305083810921,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.11083337626019156
0.0,-0.35079209906224645,2,0.22564165758852425,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.43565090573686244
1.0,-1.6072639038382115,2,0.8604552082049659,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.0852859646902042
0.0,2.4141600657309854,2,1.0418305083810921,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4305291728675932
1.0,0.4725718850662178,2,0.49770460785271353,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0025608664346346084
0.0,-1.1160002627504102,2,1.1325181584691553,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.9770134548646472
1.0,0.725090579083312,2,-2.3136125448772424,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.7297992907742765
0.0,-0.5206683114010188,2,0.5883922579407767,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.4897871606496409
0.0,-0.5206683114010188,2,0.5883922579407767,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.4897871606496409
0.0,-0.34926168273487007,2,0.6790799080288398,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.7604684352135332
1.0,0.8393616648607441,2,0.40701695776465047,2024,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.0961132156727598
