road_condition,contract_area_m2,contract_period,building_age,Galhyeon,Godeung,Geumgwang,Geumto,Dandae,Dochon,Bokjeong,Sasong,Sanseong,Sangdaewon,Sangjeok,Seongnam,Sujin,Siheung,Sinchon,Sinhung,Simgok,Yangji,Yeosu,Oya,Eunhaeng,Jungang,Changok,Taepyeong,Hadaewon,deposit
0.0,0.1665709362435382,0.3333333333333333,0.951142858293029,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,15000
0.0,0.14091518284510815,0.3333333333333333,1.3138934586452815,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5000
0.0,0.1675282404748229,0.3333333333333333,0.22564165758852425,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,15000
1.0,0.8950794562511967,0.3333333333333333,0.6790799080288398,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,25000
0.0,0.2140053609036952,0.3333333333333333,1.4045811087333444,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,13000
0.0,0.07179781734635268,0.3333333333333333,0.5883922579407767,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6000
1.0,0.3829216925138809,0.16666666666666666,-1.95086194452499,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,43050
0.0,0.2469844916714532,0.3333333333333333,0.40701695776465047,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,25000
1.0,0.24679303082519627,0.3333333333333333,-0.6812348432921067,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,23000
1.0,0.2536856212904461,0.3333333333333333,-1.4974236940846746,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,28000
0.0,0.21577637373157188,0.3333333333333333,0.7697675581169028,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,19000
0.0,0.28240474822898715,0.3333333333333333,0.7697675581169028,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,25000
0.0,0.22956155466207162,0.3333333333333333,-0.31848424293985433,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,15500
0.0,0.06701129618992915,0.3333333333333333,-0.953297793556296,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1500
